MD ,TVD ,Devi ,Azimuth ,North ,East ,Departure ,"Departure
Azimuth","Dogleg
Severity"
m ,m ,Deg ,Deg ,m ,m ,m ,Deg ,Deg/100f
0,0,0,45,2.7,0.19,2.71,4.03,
145.9,145.9,0,0,2.7,0.19,2.71,4.03,
174,174,0.12,166.21,2.67,0.2,2.68,4.28,
204,204,0.08,159.79,2.62,0.21,2.63,4.58,0.04
234,234,0.15,113.27,2.59,0.26,2.6,5.73,0.07
294,294,0.34,83.77,2.57,0.5,2.62,11.01,0.1
324,324,0.36,81.51,2.6,0.69,2.69,14.86,0.02
354,354,0.46,79.36,2.63,0.9,2.78,18.89,0.1
384,384,0.65,66.92,2.72,1.17,2.96,23.27,0.19
414,413.99,1.09,38.86,3.01,1.51,3.37,26.64,0.45
444,443.97,2.91,27.73,3.91,2.04,4.41,27.55,1.85
474,473.9,4.85,26.01,5.72,2.95,6.44,27.28,1.97
504,503.76,6.49,27.94,8.36,4.3,9.4,27.22,1.67
534,533.53,7.69,30.42,11.59,6.11,13.1,27.8,1.22
564,563.28,6.95,32.03,14.86,8.09,16.92,28.56,0.75
594,593.1,5.54,30.06,17.65,9.78,20.18,28.99,1.43
624,622.98,4.9,17.77,20.12,10.9,22.88,28.45,0.65
654,652.87,5.08,0.38,22.67,11.3,25.33,26.49,0.18
684,682.73,5.95,334.67,25.41,10.64,27.55,22.72,0.88
714,712.56,6.39,320.18,28.09,8.91,29.47,17.6,0.45
744,742.36,6.8,303.74,30.36,6.36,31.02,11.83,0.42
774,772.1,8.44,288.2,32.04,2.79,32.16,4.98,1.67
804,801.66,11.14,278.45,33.15,-2.17,33.22,356.25,2.74
834,830.99,13.14,272.24,33.71,-8.44,34.75,345.94,2.03
864,860.11,14.81,266.26,33.59,-15.68,37.07,334.98,1.7
893,888.13,14.99,264.04,32.96,-23.11,40.25,324.96,0.19
903,897.8,14.51,263.13,32.68,-25.64,41.54,321.88,1.46
913,907.49,14.08,262.05,32.36,-28.09,42.85,319.04,1.31
923,917.2,13.81,261.01,32.01,-30.47,44.19,316.41,0.82
933,926.91,13.78,260.55,31.62,-32.82,45.57,313.93,0.09
943,936.62,13.86,260.53,31.23,-35.18,47.04,311.6,0.24
953,946.33,13.96,260.58,30.84,-37.55,48.59,309.4,0.3
963,956.03,14.13,261.38,30.46,-39.95,50.24,307.32,0.52
973,965.72,14.43,263.23,30.13,-42.39,52.01,305.4,0.91
983,975.4,14.7,264.88,29.87,-44.89,53.92,303.64,0.82
993,985.06,14.91,265.8,29.66,-47.44,55.95,302.01,0.64
1003,994.72,15.04,266.46,29.48,-50.02,58.06,300.51,0.4
1013,1004.38,15.13,267.49,29.35,-52.62,60.25,299.15,0.27
1023,1014.03,15.14,268.09,29.25,-55.22,62.49,297.91,0.03
1033,1023.69,15.07,268.61,29.17,-57.83,64.77,296.77,0.21
1043,1033.36,14.54,269.28,29.12,-60.38,67.04,295.75,1.62
1053,1043.04,14.23,269.64,29.1,-62.87,69.28,294.84,0.94
1063,1052.74,14.15,269.65,29.09,-65.32,71.5,294.01,0.24
1073,1062.43,14.22,269.22,29.06,-67.77,73.74,293.21,0.21
1083,1072.12,14.38,267.93,29,-70.24,75.99,292.43,0.49
1093,1081.8,14.59,265.82,28.86,-72.74,78.26,291.64,0.64
1103,1091.48,14.67,263.48,28.63,-75.25,80.51,290.83,0.24
1113,1101.15,14.82,260.96,28.28,-77.77,82.75,289.98,0.46
1123,1110.81,15.14,258.59,27.82,-80.31,84.99,289.11,0.98
1133,1120.45,15.71,256.39,27.25,-82.91,87.27,288.19,1.74
1143,1130.06,16.43,254.47,26.55,-85.59,89.61,287.23,2.19
1153,1139.62,17.58,252.27,25.71,-88.39,92.05,286.22,3.51
1163,1149.12,18.82,250.54,24.71,-91.35,94.63,285.14,3.78
1173,1158.56,19.84,248.95,23.57,-94.45,97.35,284.01,3.11
1183,1167.95,20.52,248.22,22.31,-97.67,100.19,282.87,2.07
1193,1177.3,20.78,248.08,20.99,-100.94,103.1,281.75,0.79
1203,1186.65,20.87,248,19.66,-104.24,106.08,280.68,0.27
1213,1196,20.57,248.5,18.35,-107.52,109.07,279.69,0.91
1223,1205.39,19.87,249.42,17.11,-110.75,112.06,278.78,2.13
1233,1214.81,19.22,250.72,15.97,-113.89,115,277.98,1.98
1243,1224.26,18.88,251.85,14.92,-116.98,117.93,277.27,1.04
1253,1233.73,18.83,252.46,13.93,-120.06,120.87,276.62,0.15
1263,1243.18,19.07,252.6,12.96,-123.16,123.84,276.01,0.73
1273,1252.63,19.35,252.6,11.97,-126.3,126.87,275.41,0.85
1283,1262.06,19.47,252.47,10.98,-129.47,129.93,274.85,0.37
1293,1271.5,19.09,252.04,9.97,-132.61,132.98,274.3,1.16
