MD ,TVD ,Devi ,Azimuth ,North ,East ,"Departur
e","Departur
e
Azimuth","Dogleg
Severity",,,,,,,,,,,,,
m ,m ,Deg ,Deg ,m ,m ,m ,Deg ,Deg/100f,,,,,,,,,,,,,
145.9,145.9,0,0,-1.21,2.42,2.71,116.57,,,,,,,,,,,,,,
155.09,155.09,0.18,5.42,-1.2,2.42,2.7,116.38,,,,,,,,,,,,,,
195.44,195.44,0.33,37.78,-1.04,2.5,2.71,112.59,,,,,,,,,,,,,,
235.8,235.8,0.61,58.22,-0.84,2.75,2.88,106.99,0.21,,,,,,,,,,,,,
276.2,276.19,1.55,62.5,-0.47,3.42,3.45,97.82,0.71,,,,,,,,,,,,,
316.6,316.58,1.55,67.03,0,4.41,4.41,90,0,,,,,,,,,,,,,
356.9,356.86,1.9,71.62,0.42,5.54,5.56,85.66,0.26,,,,,,,,,,,,,
397.3,397.21,3.61,88.22,0.67,7.45,7.48,84.86,1.29,,,,,,,,,,,,,
437.7,437.51,4.31,83.62,0.88,10.23,10.27,85.08,0.53,,,,,,,,,,,,,
478,477.71,4,69.33,1.54,13.05,13.14,83.27,0.23,,,,,,,,,,,,,
518.4,518.03,3.37,50.31,2.8,15.28,15.53,79.62,0.48,,,,,,,,,,,,,
558.7,558.28,2.15,26.9,4.23,16.54,17.07,75.65,0.92,,,,,,,,,,,,,
599.1,598.67,0.79,14.51,5.17,16.95,17.72,73.04,1.03,,,,,,,,,,,,,
639.5,639.06,0.26,72.65,5.47,17.11,17.96,72.27,0.4,,,,,,,,,,,,,
679.8,679.36,0.26,75.13,5.52,17.28,18.14,72.28,0,,,,,,,,,,,,,
720.2,719.76,0.27,77.66,5.57,17.46,18.33,72.31,0.01,,,,,,,,,,,,,
760.5,760.06,0.29,85.64,5.59,17.66,18.52,72.44,0.02,,,,,,,,,,,,,
800.9,800.46,0.35,107.43,5.56,17.88,18.72,72.73,0.05,,,,,,,,,,,,,
841.3,840.86,0.47,160.22,5.37,18.05,18.83,73.43,0.09,,,,,,,,,,,,,
881.7,881.26,0.48,160.6,5.06,18.16,18.85,74.43,0.01,,,,,,,,,,,,,
922,921.56,0.35,168.3,4.78,18.24,18.86,75.32,0.1,,,,,,,,,,,,,
962.4,961.96,0.26,163.24,4.57,18.3,18.86,75.98,0.07,,,,,,,,,,,,,
1002.8,1002.36,0.22,163.51,4.41,18.34,18.86,76.48,0.03,,,,,,,,,,,,,
