MD ,TVD ,Devi ,Azimuth ,North ,East ,Departure ,"Departure
Azimuth","Dogleg
Severity",,,,,,,,,,,,,,,
m ,m ,Deg ,Deg ,m ,m ,m ,Deg ,Deg/100f,,,,,,,,,,,,,,,
153.4,153.4,0.15,253.69,-3.23,3.34,4.65,134.04,,,,,,,,,,,,,,,,
395.7,395.54,5.13,126.98,-6.97,8.02,10.63,130.99,1.3,,,,,,,,,,,,,,,
597.5,596.16,7.74,174.05,-26.31,16.04,30.82,148.63,0.54,,,,,,,,,,,,,,,
799.3,795.24,11.89,193.59,-58.91,16,61.05,164.81,1.26,,,,,,,,,,,,,,,
1001.1,990.8,16.51,200.62,-105.38,-1.46,105.39,180.8,1.5,,,,,,,,,,,,,,,
1203,1184.1,16.05,230.28,-154.63,-31.18,157.74,191.4,1.21,,,,,,,,,,,,,,,
1383,1353.46,26.95,242.67,-186.08,-82.02,203.36,203.79,3.69,,,,,,,,,,,,,,,
1584,1538.11,21.08,180.89,-247.06,-125.76,277.23,206.98,0.4,,,,,,,,,,,,,,,
1786,1724.51,27.24,144.74,-317.58,-97.2,332.12,197.02,1.87,,,,,,,,,,,,,,,
1988,1903.62,27.71,144.28,-392.93,-42.03,395.17,186.11,0.31,,,,,,,,,,,,,,,
2190,2084.24,24.05,170.86,-473.44,-3.06,473.45,180.37,0.77,,,,,,,,,,,,,,,
2392,2267.92,25.95,202.15,-556.07,-10.75,556.17,181.11,0.67,,,,,,,,,,,,,,,
2570.76,2423.85,33.75,230.93,-623.53,-64.38,626.84,185.9,1.77,,,,,,,,,,,,,,,
2771.47,2603.77,15.92,244.44,-675.1,-134.61,688.39,191.28,3.95,,,,,,,,,,,,,,,
2943.77,2771.6,13.04,253.34,-690.25,-170.33,710.95,193.86,2.04,,,,,,,,,,,,,,,
3118.28,2937.8,21.94,256.07,-699.87,-221.94,734.21,197.59,1.61,,,,,,,,,,,,,,,
3211.78,3024.6,20.98,255.56,-708.31,-255.66,753.04,199.85,0.69,,,,,,,,,,,,,,,
