MD Entry (m),TVD
m,m
2929.8,2929.8
2932.6,2932.4
2935.5,2935
2957.6,2937.4
2979.8,2939.9
2983,2942.8
2986.2,2945.8
2987.3,2946.8
2988.4,2947.8
2989.5,2948.8
2990.6,2949.8
2991.7,2950.8
2993.1,2952.1
2994.6,2953.4
2997.5,2956
3000.4,2958.7
3001.9,2960
3003.4,2961.4
3004.9,2962.8
3006.4,2964.1
3007.9,2965.5
3009.4,2966.8
3010.9,2968.2
3012.3,2969.6
3013.8,2970.9
3015.4,2972.3
3016.9,2973.7
3018.4,2975.1
3059.2,2976.2
3064.1,2975.6
3065.5,2974.4
3066.8,2973.1
3068.2,2971.9
3069.6,2970.6
3112.3,2977
3118.2,2979.6
3120.7,2981.8
3123.2,2984.1
3125.7,2986.3
3128.2,2988.5
3130.7,2990.8
3133.2,2993
3135.7,2995.2
3138.1,2997.5
3140.6,2999.7
3143.1,3001.9
3145,3003.7
3147,3005.4
3148.9,3007.1
3149.3,3007.5
3149.8,3007.9
3150.2,3008.3
3152,3009.9
3153.8,3011.6
3155.6,3013.2
3156.8,3014.2
3157.9,3015.2
3159.1,3016.3
3161.9,3018.8
3164.7,3021.3
3167.5,3023.8
3191.3,3026.2
3215.1,3028.6
3219.6,3032.7
