depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
95.0	1.878	0.539	0.284	0.484	0.0
95.5	1.878	0.542	0.285	0.484	18.402
96.0	1.878	0.545	0.287	0.484	18.402
96.5	1.878	0.548	0.288	0.484	18.402
97.0	1.878	0.55	0.29	0.484	18.402
97.5	1.878	0.553	0.291	0.484	18.402
98.0	1.878	0.556	0.293	0.484	18.402
98.5	1.878	0.559	0.294	0.484	18.402
99.0	1.878	0.562	0.296	0.484	18.402
99.5	1.878	0.564	0.297	0.484	18.402
100.0	1.878	0.567	0.299	0.484	18.402
100.5	1.878	0.57	0.3	0.484	18.402
101.0	1.871	0.573	0.302	0.488	18.335
101.5	1.832	0.576	0.303	0.511	17.951
102.0	1.836	0.578	0.305	0.508	17.996
102.5	1.85	0.581	0.306	0.5	18.13
103.0	1.844	0.584	0.308	0.503	18.072
103.5	1.83	0.587	0.309	0.512	17.933
104.0	1.83	0.589	0.311	0.512	17.937
104.5	1.856	0.592	0.312	0.497	18.184
105.0	1.86	0.595	0.314	0.494	18.231
105.5	1.849	0.598	0.315	0.501	18.121
106.0	1.839	0.6	0.317	0.507	18.019
106.5	1.851	0.603	0.318	0.499	18.144
107.0	1.873	0.606	0.32	0.487	18.354
107.5	1.875	0.609	0.321	0.486	18.371
108.0	1.867	0.611	0.323	0.49	18.294
108.5	1.884	0.614	0.324	0.48	18.468
109.0	1.883	0.617	0.326	0.481	18.449
109.5	1.858	0.62	0.327	0.495	18.213
110.0	1.867	0.623	0.329	0.49	18.298
110.5	1.875	0.625	0.33	0.485	18.373
111.0	1.876	0.628	0.332	0.485	18.386
111.5	1.858	0.631	0.333	0.495	18.205
112.0	1.87	0.634	0.335	0.488	18.331
112.5	1.85	0.637	0.336	0.5	18.125
113.0	1.842	0.639	0.338	0.505	18.047
113.5	1.885	0.642	0.339	0.48	18.469
114.0	1.862	0.645	0.341	0.493	18.25
114.5	1.809	0.648	0.342	0.524	17.732
115.0	1.813	0.65	0.344	0.522	17.769
115.5	1.82	0.653	0.345	0.517	17.839
116.0	1.83	0.656	0.346	0.512	17.936
