depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
3515	2.154	16.134	10.499	0.321	0.0
3516	2.126	16.14	10.502	0.338	20.835
3517	2.098	16.146	10.505	0.354	20.56
3518	2.063	16.153	10.508	0.375	20.217
3519	2.084	16.159	10.511	0.362	20.423
3520	2.114	16.165	10.514	0.345	20.717
3521	2.128	16.171	10.517	0.336	20.854
3522	2.166	16.178	10.52	0.314	21.227
3523	2.128	16.184	10.523	0.336	20.854
3524	2.114	16.191	10.526	0.345	20.717
3525	2.094	16.197	10.529	0.356	20.521
3526	2.086	16.203	10.532	0.361	20.443
3527	2.066	16.209	10.535	0.373	20.247
3528	2.056	16.215	10.538	0.379	20.149
3529	2.054	16.222	10.541	0.38	20.129
3530	2.066	16.228	10.544	0.373	20.247
3531	2.108	16.234	10.547	0.348	20.658
3532	2.094	16.24	10.55	0.356	20.521
3533	2.086	16.246	10.553	0.361	20.443
3534	1.93	16.252	10.556	0.453	18.914
3535	1.936	16.258	10.559	0.449	18.973
3536	2.018	16.264	10.562	0.401	19.776
3537	2.13	16.27	10.565	0.335	20.874
3538	2.164	16.277	10.568	0.315	21.207
3539	2.14	16.283	10.571	0.329	20.972
3540	2.15	16.29	10.574	0.324	21.07
3541	2.148	16.296	10.577	0.325	21.05
3542	2.092	16.302	10.58	0.358	20.502
3543	2.116	16.309	10.583	0.344	20.737
3544	2.11	16.315	10.586	0.347	20.678
3545	2.146	16.321	10.589	0.326	21.031
3546	2.134	16.328	10.592	0.333	20.913
3547	2.066	16.334	10.595	0.373	20.247
3548	2.086	16.34	10.598	0.361	20.443
3549	2.202	16.347	10.601	0.293	21.58
3550	2.332	16.354	10.604	0.216	22.854
3551	2.118	16.36	10.607	0.342	20.756
3552	2.086	16.366	10.61	0.361	20.443
3553	2.114	16.373	10.613	0.345	20.717
3554	2.172	16.379	10.616	0.311	21.286
3555	2.159	16.385	10.619	0.318	21.158
3556	2.174	16.392	10.622	0.309	21.305
3557	2.192	16.399	10.625	0.299	21.482
3558	2.188	16.405	10.628	0.301	21.442
3559	2.186	16.412	10.631	0.302	21.423
3560	2.206	16.418	10.634	0.291	21.619
