depth_m	density_gcc	s_v	hydrostatic_pres	porosity	gradient
3666.592	2.288	56.839	35.933		
3666.744	2.253	56.842	35.934		22.081
3666.896	2.209	56.845	35.936		21.65
3667.049	2.239	56.849	35.937		21.941
3667.201	2.258	56.852	35.939		22.128
3667.354	2.329	56.856	35.94		22.821
3667.506	2.293	56.859	35.942		22.473
3667.658	2.254	56.862	35.943		22.091
3667.811	2.207	56.866	35.945		21.63
3667.963	2.177	56.869	35.946		21.336
3668.116	2.159	56.872	35.948		21.159
3668.268	2.247	56.875	35.949		22.017
3668.42	2.251	56.879	35.951		22.06
3668.573	2.225	56.882	35.952		21.806
3668.725	2.22	56.885	35.954		21.756
3668.878	2.241	56.889	35.955		21.961
3669.03	2.254	56.892	35.956		22.089
3669.182	2.24	56.896	35.958		21.953
3669.335	2.261	56.899	35.959		22.157
3669.487	2.321	56.902	35.961		22.743
3669.64	2.327	56.906	35.962		22.804
3669.792	2.47	56.91	35.964		24.21
3669.944	2.469	56.913	35.965		24.196
3670.097	2.389	56.917	35.967		23.415
3670.249	2.276	56.92	35.968		22.309
3670.402	2.291	56.924	35.97		22.451
3670.554	2.373	56.927	35.971		23.252
3670.706	2.354	56.931	35.973		23.07
3670.859	2.448	56.934	35.974		23.987
3671.011	2.409	56.938	35.976		23.61
3671.164	2.398	56.941	35.977		23.501
3671.316	2.274	56.945	35.979		22.29
3671.468	2.264	56.948	35.98		22.188
3671.621	2.29	56.952	35.982		22.441
3671.773	2.325	56.955	35.983		22.784
3671.926	2.323	56.959	35.985		22.765
3672.078	2.402	56.962	35.986		23.537
3672.23	2.492	56.966	35.988		24.418
3672.383	2.445	56.97	35.989		23.963
3672.535	2.364	56.973	35.991		23.17
3672.688	2.338	56.977	35.992		22.913
3672.84	2.389	56.98	35.994		23.41
3672.992	2.008	56.983	35.995		19.674
3673.145	1.991	56.986	35.997		19.512
3673.297	2.221	56.989	35.998		21.767
3673.45	2.269	56.993	36.0		22.234
3673.602	2.279	56.996	36.001		22.334
3673.754	2.247	57.0	36.003		22.022
3673.907	2.284	57.003	36.004		22.382
3674.059	2.353	57.007	36.006		23.057
