depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
3515	2.154	16.134	10.499	0.324	0.321	5.634
3516	2.126	16.14	10.502	0.324	0.338	5.638
3517	2.098	16.146	10.505	0.324	0.354	5.641
3518	2.063	16.153	10.508	0.323	0.375	5.644
3519	2.084	16.159	10.511	0.323	0.362	5.647
3520	2.114	16.165	10.514	0.323	0.345	5.651
3521	2.128	16.171	10.517	0.323	0.336	5.654
3522	2.166	16.178	10.52	0.323	0.314	5.658
3523	2.128	16.184	10.523	0.323	0.336	5.661
3524	2.114	16.191	10.526	0.323	0.345	5.664
3525	2.094	16.197	10.529	0.323	0.356	5.668
3526	2.086	16.203	10.532	0.323	0.361	5.671
3527	2.066	16.209	10.535	0.323	0.373	5.674
3528	2.056	16.215	10.538	0.323	0.379	5.677
3529	2.054	16.222	10.541	0.323	0.38	5.68
3530	2.066	16.228	10.544	0.323	0.373	5.683
3531	2.108	16.234	10.547	0.323	0.348	5.687
3532	2.094	16.24	10.55	0.323	0.356	5.69
3533	2.086	16.246	10.553	0.323	0.361	5.693
3534	1.93	16.252	10.556	0.323	0.453	5.696
3535	1.936	16.258	10.559	0.323	0.449	5.699
3536	2.018	16.264	10.562	0.323	0.401	5.702
3537	2.13	16.27	10.565	0.323	0.335	5.705
3538	2.164	16.277	10.568	0.323	0.315	5.709
3539	2.14	16.283	10.571	0.323	0.329	5.712
3540	2.15	16.29	10.574	0.323	0.324	5.716
3541	2.148	16.296	10.577	0.323	0.325	5.719
3542	2.092	16.302	10.58	0.323	0.358	5.722
3543	2.116	16.309	10.583	0.323	0.344	5.726
3544	2.11	16.315	10.586	0.323	0.347	5.729
3545	2.146	16.321	10.589	0.323	0.326	5.732
3546	2.134	16.328	10.592	0.323	0.333	5.736
3547	2.066	16.334	10.595	0.323	0.373	5.739
3548	2.086	16.34	10.598	0.323	0.361	5.742
3549	2.202	16.347	10.601	0.322	0.293	5.746
3550	2.332	16.354	10.604	0.322	0.216	5.75
3551	2.118	16.36	10.607	0.322	0.342	5.753
3552	2.086	16.366	10.61	0.322	0.361	5.756
3553	2.114	16.373	10.613	0.322	0.345	5.76
3554	2.172	16.379	10.616	0.322	0.311	5.763
3555	2.159	16.385	10.619	0.322	0.318	5.767
