Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5000	2.4061	77.2805	114.8416
5000.5	2.3836	78.1448	114.1503
5001	2.2382	72.3262	104.872
5001.5	2.0972	69.1538	101.2285
5002	2.52	67.9961	104.3231
5002.5	2.6518	62.7413	101.9217
5003	2.5788	62.1229	99.0215
5003.5	2.5231	62.385	97.6386
5004	2.504	62.9182	96.8713
5004.5	2.499	63.4273	99.6877
5005	2.4691	62.6754	99.6293
5005.5	2.4888	62.2703	100.3023
5006	2.4854	58.8931	92.4587
5006.5	2.4962	60.7253	93.6886
5007	2.506	61.0078	92.0443
5007.5	2.5017	67.4958	101.6814
5008	2.5452	69.5302	103.1684
5008.5	2.3848	70.247	114.6017
5009	2.1616	79.9493	124.6497
5009.5	2.3299	80.6318	127.3265
5010	2.4998	81.3142	129.9924
5010.5	2.5971	65.3225	120.3911
5011	2.0762	66.2227	112.1107
5011.5	2.3733	67.0972	114.7895
5012	2.4484	68.4042	117.409
5012.5	2.4394	68.007	112.7455
5013	2.4505	67.8567	113.1133
5013.5	2.4644	68.7551	110.7058
5014	2.4451	67.9571	109.7536
5014.5	2.4547	67.764	108.8059
5015	2.4683	67.3248	107.6507
5015.5	2.4695	66.0768	106.1644
5016	2.56	65.7761	105.1222
5016.5	2.4974	66.3104	101.532
5017	2.5014	66.0705	104.3604
5017.5	2.4899	66.1341	100.9583
5018	2.4831	65.5798	104.302
5018.5	2.5115	66.4313	101.9783
5019	2.5072	66.145	102.5685
5019.5	2.5035	67.1184	104.2675
5020	2.4951	67.3563	102.9502
5020.5	2.4818	67.8207	106.222
5021	2.5105	68.5671	108.9622
5021.5	2.4874	69.1478	107.0756
5022	2.4713	68.5888	108.8342
5022.5	2.4853	68.1801	106.748
5023	2.4925	68.1	106.543
5023.5	2.496	67.9692	106.2876
5024	2.4907	67.5107	104.8763
5024.5	2.5107	67.6567	104.8337
5025	2.4886	67.5308	104.277
5025.5	2.4886	67.4451	104.8374
5026	2.4766	67.2556	104.8685
5026.5	2.5013	66.3126	101.9507
5027	2.5251	66.0456	100.3006
5027.5	2.5234	64.0448	98.015
5028	2.5405	63.2262	100.0519
5028.5	2.5278	63.1766	98.8062
5029	2.5166	61.8566	94.4908
5029.5	2.373	58.8558	92.2762
5030	2.5294	54.2692	89.2933
5030.5	2.53	54.0595	91.224
5031	2.5416	72.3629	125.3093
5031.5	2.396	69.9566	103.0752
5032	2.399	69.1414	108.6394
5032.5	2.6822	67.3976	101.6154
5033	2.5774	67.2229	101.0833
5033.5	2.5143	65.3974	101.4375
5034	2.4926	65.7097	104.4869
5034.5	2.5066	66.1308	103.243
5035	2.5241	66.5668	104.5811
5035.5	2.5104	65.9775	103.2463
5036	2.5416	65.4238	103.0124
5036.5	2.5496	66.427	101.2569
5037	2.5176	65.207	102.222
5037.5	2.5245	64.7851	103.7705
5038	2.553	67.6966	107.1999
5038.5	2.5693	67.3388	111.9034
5039	2.5962	69.3387	116.6189
5039.5	2.5932	69.5919	115.3627
5040	2.5675	71.9564	121.4885
5040.5	2.5991	72.1656	125.0023
5041	2.5865	72.4953	126.7674
5041.5	2.6112	71.2083	122.7167
5042	2.5473	69.8313	119.3973
5042.5	2.5816	67.393	110.0982
5043	2.5952	67.0492	107.5513
5043.5	2.5086	64.3207	102.838
5044	2.5408	65.1944	104.0634
5044.5	2.5223	65.2664	102.4783
5045	2.516	65.6634	104.2926
5045.5	2.5243	65.9863	104.928
5046	2.5499	65.8677	104.7334
5046.5	2.5371	65.1437	103.9387
5047	2.5268	64.4945	99.0292
5047.5	2.5726	63.9599	99.6418
5048	2.5611	63.9061	97.4891
5048.5	2.5613	63.5993	98.9386
5049	2.5395	62.6793	100.6082
5049.5	2.5399	65.1163	105.9602
5050	2.5736	65.7761	109.0694
5050.5	2.5977	66.7096	113.025
5051	2.5755	65.1279	113.3883
5051.5	2.5346	62.8678	112.0897
5052	2.583	63.0832	110.6858
5052.5	2.5997	62.748	110.2092
5053	2.589	63.7343	106.9607
5053.5	2.5601	72.5239	115.2941
5054	2.5944	76.7567	121.3591
5054.5	2.6329	82.2113	129.9281
5055	2.5616	84.7684	138.4972
5055.5	2.5163	86.6848	168.1941
5056	2.6277	86.7176	166.9167
5056.5	2.5791	86.5671	167.7671
5057	2.6321	88.573	167.3119
5057.5	2.6176	89.0705	171.6084
5058	2.5124	89.8301	176.6665
5058.5	2.5666	90.0234	177.605
5059	2.6363	89.448	173.2622
5059.5	2.6	87.5951	167.8857
5060	2.5737	85.017	161.0775
5060.5	2.5753	80.2463	149.9863
5061	2.5893	78.865	145.2771
5061.5	2.5159	78.9637	146.0428
5062	2.7166	80.9402	150.1714
5062.5	2.7275	82.7872	154.1103
5063	2.5647	89.2803	166.652
5063.5	2.5903	90.9482	170.3489
5064	2.5447	91.6634	172.2889
5064.5	2.6367	91.5618	171.9905
5065	2.5987	90.0149	170.8327
5065.5	2.5426	87.9531	168.9947
5066	2.5862	88.4165	171.6822
5066.5	2.5858	88.25	167.8834
5067	2.6215	90.6336	168.8442
5067.5	2.6329	90.9481	165.8086
5068	2.544	93.9394	167.5184
5068.5	2.4189	95.9757	167.3146
5069	2.5587	95.9782	163.502
5069.5	2.5814	96.7148	160.927
5070	2.4714	98.3515	162.2227
5070.5	2.4684	97.2641	159.0451
5071	2.5606	93.9459	152.4463
5071.5	2.5806	96.5494	155.477
5072	2.5376	66.717	103.5155
5072.5	2.5657	66.595	104.9771
5073	2.7169	65.8364	105.8135
5073.5	2.7124	65.3905	107.7975
5074	2.7366	79.3585	131.795
5074.5	2.6271	80.7012	135.7771
5075	2.5939	86.8529	147.2605
5075.5	2.5454	88.4544	152.9665
5076	2.5363	89.0752	155.595
5076.5	2.5209	89.1816	158.7859
5077	2.6032	88.6195	154.0658
5077.5	2.5856	87.5615	148.9258
